name,injury_date
"Wacha, Michael",8/7/2020
"Bummer, Aaron",8/7/2020
"Strop, Pedro",8/7/2020
"Bleier, Richard",8/7/2020
"Palumbo, Joe",8/7/2020
"Drake, Oliver",8/8/2020
"Kelly, Joe",8/8/2020
"Drake, Oliver",8/8/2020
"Kelly, Joe",8/8/2020
"Morton, Charlie",8/9/2020
"Bumgarner, Madison",8/9/2020
"Farmer, Buck",8/9/2020
"Morton, Charlie",8/9/2020
"Bumgarner, Madison",8/9/2020
"Farmer, Buck",8/9/2020
"López, Jorge",8/10/2020
"Doolittle, Sean",8/10/2020
"López, Jorge",8/10/2020
"Doolittle, Sean",8/10/2020
"Goody, Nick",8/11/2020
"Farrell, Luke",8/11/2020
"Means, John",8/11/2020
"Stashak, Cody",8/11/2020
"Hamilton, Ian",8/11/2020
"Kittredge, Andrew",8/11/2020
"Volquez, Edinson",8/11/2020
"Beasley, Jeremy",8/11/2020
"Griffin, Foster",8/11/2020
"Goody, Nick",8/11/2020
"Farrell, Luke",8/11/2020
"Means, John",8/11/2020
"Stashak, Cody",8/11/2020
"Hamilton, Ian",8/11/2020
"Kittredge, Andrew",8/11/2020
"Volquez, Edinson",8/11/2020
"Beasley, Jeremy",8/11/2020
"Griffin, Foster",8/11/2020
"Grimm, Justin",8/12/2020
"Martin, Brett",8/12/2020
"Grimm, Justin",8/12/2020
"Martin, Brett",8/12/2020
"Morin, Mike",8/13/2020
"Peterson, David",8/13/2020
"Morin, Mike",8/13/2020
"Peterson, David",8/13/2020
"Cortes, Nestor",8/14/2020
"Alvarado, José",8/14/2020
"Nova, Iván",8/14/2020
"Cortes, Nestor",8/14/2020
"Alvarado, José",8/14/2020
"Nova, Iván",8/14/2020
"Junis, Jakob",8/15/2020
"Chatwood, Tyler",8/15/2020
"Smith, Burch",8/15/2020
"Junis, Jakob",8/15/2020
"Chatwood, Tyler",8/15/2020
"Smith, Burch",8/15/2020
"Moran, Brian",8/16/2020
"Swanson, Erik",8/16/2020
"Moran, Brian",8/16/2020
"Swanson, Erik",8/16/2020
"Chafin, Andrew",8/17/2020
"Chafin, Andrew",8/17/2020
"Ríos, Yacksel",8/18/2020
"Pearson, Nate",8/18/2020
"Venditte, Pat",8/18/2020
"Pomeranz, Drew",8/18/2020
"Ríos, Yacksel",8/18/2020
"Pearson, Nate",8/18/2020
"Venditte, Pat",8/18/2020
"Pomeranz, Drew",8/18/2020
"Roe, Chaz",8/19/2020
"Yates, Kirby",8/19/2020
"Anderson, Nick",8/19/2020
"Báez, Pedro",8/19/2020
"Knebel, Corey",8/19/2020
"Britton, Zack",8/19/2020
"Freeman, Sam",8/19/2020
"Roe, Chaz",8/19/2020
"Yates, Kirby",8/19/2020
"Anderson, Nick",8/19/2020
"Báez, Pedro",8/19/2020
"Knebel, Corey",8/19/2020
"Britton, Zack",8/19/2020
"Freeman, Sam",8/19/2020
"James, Josh",8/20/2020
"Avilán, Luis",8/20/2020
"Harvey, Joe",8/20/2020
"Paxton, James",8/20/2020
"Guilbeau, Taylor",8/20/2020
"Alvarez, Jose",8/20/2020
"James, Josh",8/20/2020
"Avilán, Luis",8/20/2020
"Harvey, Joe",8/20/2020
"Paxton, James",8/20/2020
"Guilbeau, Taylor",8/20/2020
"Alvarez, Jose",8/20/2020
"Buehler, Walker",8/21/2020
"Odorizzi, Jake",8/21/2020
"Littell, Zack",8/21/2020
"Kela, Keone",8/21/2020
"Shoemaker, Matt",8/21/2020
"Tarpley, Stephen",8/21/2020
"Buehler, Walker",8/21/2020
"Odorizzi, Jake",8/21/2020
"Littell, Zack",8/21/2020
"Kela, Keone",8/21/2020
"Shoemaker, Matt",8/21/2020
"Tarpley, Stephen",8/21/2020
"Romero, Seth",8/22/2020
"Chavez, Jesse",8/22/2020
"Romero, Seth",8/22/2020
"Chavez, Jesse",8/22/2020
"LeBlanc, Wade",8/23/2020
"Miller, Andrew",8/23/2020
"LeBlanc, Wade",8/23/2020
"Miller, Andrew",8/23/2020
"Oswalt, Corey",8/25/2020
"Chirinos, Yonny",8/25/2020
"Oswalt, Corey",8/25/2020
"Chirinos, Yonny",8/25/2020
"Strasburg, Stephen",8/26/2020
"Strasburg, Stephen",8/26/2020
"Biddle, Jesse",8/27/2020
"Miley, Wade",8/27/2020
"Davis, Austin",8/27/2020
"Biddle, Jesse",8/27/2020
"Miley, Wade",8/27/2020
"Davis, Austin",8/27/2020
"Sánchez, Ricardo",8/28/2020
"Romano, Jordan",8/28/2020
"Yarbrough, Ryan",8/28/2020
"Widener, Taylor",8/28/2020
"Sánchez, Ricardo",8/28/2020
"Romano, Jordan",8/28/2020
"Yarbrough, Ryan",8/28/2020
"Widener, Taylor",8/28/2020
"Milner, Hoby",8/29/2020
"Morejon, Adrian",8/29/2020
"Perdomo, Luis",8/29/2020
"Hart, Kyle",8/29/2020
"Betances, Dellin",8/29/2020
"Matz, Steven",8/29/2020
"Armstrong, Shawn",8/29/2020
"Hernández, Darwinzon",8/29/2020
"Kennedy, Ian",8/29/2020
"Eovaldi, Nathan",8/29/2020
"González, Gio",8/29/2020
"Milner, Hoby",8/29/2020
"Morejon, Adrian",8/29/2020
"Perdomo, Luis",8/29/2020
"Hart, Kyle",8/29/2020
"Betances, Dellin",8/29/2020
"Matz, Steven",8/29/2020
"Armstrong, Shawn",8/29/2020
"Hernández, Darwinzon",8/29/2020
"Kennedy, Ian",8/29/2020
"Eovaldi, Nathan",8/29/2020
"González, Gio",8/29/2020
"Pagán, Emilio",8/30/2020
"Mengden, Daniel",8/30/2020
"Morgan, Adam",8/30/2020
"Chatwood, Tyler",8/30/2020
"Quintana, Jose",8/30/2020
"Pagán, Emilio",8/30/2020
"Mengden, Daniel",8/30/2020
"Morgan, Adam",8/30/2020
"Chatwood, Tyler",8/30/2020
"Quintana, Jose",8/30/2020
"Brewer, Colten",8/31/2020
"Brewer, Colten",8/31/2020
"Thornton, Trent",9/1/2020
"Gray, Jon",9/1/2020
"Kilome, Franklyn",9/1/2020
"Guerra, Javy",9/1/2020
"Hernández, Elieser",9/1/2020
"Bowman, Matt",9/1/2020
"Thornton, Trent",9/1/2020
"Gray, Jon",9/1/2020
"Kilome, Franklyn",9/1/2020
"Guerra, Javy",9/1/2020
"Hernández, Elieser",9/1/2020
"Bowman, Matt",9/1/2020
"Fry, Jace",9/2/2020
"Pruitt, Austin",9/2/2020
"Beeks, Jalen",9/2/2020
"Fry, Jace",9/2/2020
"Pruitt, Austin",9/2/2020
"Beeks, Jalen",9/2/2020
"McCullers Jr., Lance",9/4/2020
"Godley, Zack",9/4/2020
"Cobb, Alex",9/4/2020
"Loáisiga, Jonathan",9/4/2020
"McCullers Jr., Lance",9/4/2020
"Godley, Zack",9/4/2020
"Cobb, Alex",9/4/2020
"Loáisiga, Jonathan",9/4/2020
"Taylor, Blake",9/5/2020
"Leibrandt, Brandon",9/5/2020
"Reed, Cody",9/5/2020
"Hyun Kim, Kwang",9/5/2020
"Fried, Max",9/5/2020
"Taylor, Josh",9/5/2020
"Rodríguez, Joely",9/5/2020
"Taylor, Blake",9/5/2020
"Leibrandt, Brandon",9/5/2020
"Reed, Cody",9/5/2020
"Hyun Kim, Kwang",9/5/2020
"Fried, Max",9/5/2020
"Taylor, Josh",9/5/2020
"Rodríguez, Joely",9/5/2020
"Keuchel, Dallas",9/6/2020
"Font, Wilmer",9/6/2020
"Bacus, Dakota",9/6/2020
"Keuchel, Dallas",9/6/2020
"Font, Wilmer",9/6/2020
"Bacus, Dakota",9/6/2020
"Buehler, Walker",9/8/2020
"Gsellman, Robert",9/8/2020
"Brice, Austin",9/8/2020
"Buehler, Walker",9/8/2020
"Gsellman, Robert",9/8/2020
"Brice, Austin",9/8/2020
"Gott, Trevor",9/9/2020
"Milone, Tommy",9/9/2020
"Bashlor, Tyler",9/9/2020
"Kelly, Merrill",9/9/2020
"Gott, Trevor",9/9/2020
"Milone, Tommy",9/9/2020
"Bashlor, Tyler",9/9/2020
"Kelly, Merrill",9/9/2020
"Oviedo, Johan",9/10/2020
"Strahm, Matt",9/10/2020
"Gray, Sonny",9/10/2020
"Rainey, Tanner",9/10/2020
"Gallegos, Giovanny",9/10/2020
"Doolittle, Sean",9/10/2020
"Oviedo, Johan",9/10/2020
"Strahm, Matt",9/10/2020
"Gray, Sonny",9/10/2020
"Rainey, Tanner",9/10/2020
"Gallegos, Giovanny",9/10/2020
"Doolittle, Sean",9/10/2020
"Triggs, Andrew",9/11/2020
"Triggs, Andrew",9/11/2020
"Howard, Spencer",9/12/2020
"Crick, Kyle",9/12/2020
"Howard, Spencer",9/12/2020
"Crick, Kyle",9/12/2020
"Guerra, Javy",9/13/2020
"Guerra, Javy",9/13/2020
"Marshall, Evan",9/14/2020
"Marshall, Evan",9/14/2020
"Devenski, Chris",9/15/2020
"Magill, Matt",9/15/2020
"Arrieta, Jake",9/15/2020
"Harvey, Matt",9/15/2020
"Devenski, Chris",9/15/2020
"Magill, Matt",9/15/2020
"Arrieta, Jake",9/15/2020
"Harvey, Matt",9/15/2020
"Odorizzi, Jake",9/16/2020
"Hamels, Cole",9/16/2020
"Puk, A.J.",9/16/2020
"Waguespack, Jacob",9/16/2020
"Wick, Rowan",9/16/2020
"Odorizzi, Jake",9/16/2020
"Hamels, Cole",9/16/2020
"Puk, A.J.",9/16/2020
"Waguespack, Jacob",9/16/2020
"Wick, Rowan",9/16/2020
"Merryweather, Julian",9/17/2020
"Merryweather, Julian",9/17/2020
"Barrett, Aaron",9/18/2020
"Barrett, Aaron",9/18/2020
"Tate, Dillon",9/20/2020
"Moniak, Mickey",9/20/2020
"Bourque, James",9/20/2020
"Thornburg, Tyler",9/20/2020
"Tate, Dillon",9/20/2020
"Moniak, Mickey",9/20/2020
"Bourque, James",9/20/2020
"Thornburg, Tyler",9/20/2020
"Zimmer, Kyle",9/22/2020
"Zimmer, Kyle",9/22/2020
"A. Smith, Josh",9/23/2020
"Phillips, Evan",9/23/2020
"Martinez, Carlos",9/23/2020
"Ferguson, Caleb",9/23/2020
"A. Smith, Josh",9/23/2020
"Phillips, Evan",9/23/2020
"Martinez, Carlos",9/23/2020
"Ferguson, Caleb",9/23/2020
"Ferguson, Caleb",9/23/2020
"Tapia, Domingo",9/24/2020
"Holland, Greg",9/24/2020
"Burnes, Corbin",9/24/2020
"Wendelken, J.B.",9/24/2020
"Tapia, Domingo",9/24/2020
"Holland, Greg",9/24/2020
"Burnes, Corbin",9/24/2020
"Wendelken, J.B.",9/24/2020
"Dean, Austin",9/25/2020
"Coonrod, Sam",9/25/2020
"James, Josh",9/25/2020
"Dean, Austin",9/25/2020
"Coonrod, Sam",9/25/2020
"James, Josh",9/25/2020
"Ramírez, Erasmo",9/26/2020
"Ramírez, Erasmo",9/26/2020
"Hudson, Dakota",9/28/2020
"Hudson, Dakota",9/28/2020
"Abreu, Bryan",9/29/2020
"Abreu, Bryan",9/29/2020
"Giles, Ken",9/30/2020
"Verlander, Justin",9/30/2020
"Giles, Ken",9/30/2020
"Verlander, Justin",9/30/2020
"Peacock, Brad",10/6/2020
"Peacock, Brad",10/6/2020
"Mears, Nick",2/9/2021
"Cederlind, Blake",3/23/2021
"Yates, Kirby",3/24/2021
"Oberg, Scott",3/25/2021
"Baez, Michel",3/30/2021
"Leclerc, José",3/30/2021
"Hernández, Jonathan",4/12/2021
"Delaplane, Sam",4/13/2021
"Paxton, James",4/14/2021
"Morejon, Adrian",4/20/2021
"Vargas, Carlos",4/29/2021
"May, Dustin",5/11/2021
"Soroka, Michael",5/17/2021
"Romero, JoJo",5/25/2021
"Emanuel, Kent",6/3/2021
"Dunn, Justin",6/17/2021
"Lucchesi, Joey",6/24/2021
"Strasburg, Stephen",7/28/2021
"Strasburg, Stephen",7/28/2021
"Turnbull, Spencer",7/29/2021
"Glasnow, Tyler",8/4/2021
"Stiever, Jonathan",8/23/2021
"Antone, Tejay",8/27/2021
"Maeda, Kenta",9/1/2021
"Dobnak, Randy",9/3/2021
"Britton, Zack",9/8/2021
"Anderson, Nick",9/26/2021
"Boyd, Matthew",9/27/2021
"McCullers Jr., Lance",10/12/2021
"Kelly, Joe",10/21/2021
"McKay, Brendan",11/23/2021
"Heuer, Codi",3/7/2022
"Bukauskas, J.B.",3/17/2022
"Nance, Tommy",3/19/2022
"García, Luis",3/21/2022
"Baz, Shane",3/21/2022
"Coonrod, Sam",3/23/2022
"Giles, Ken",3/25/2022
"Mills, Alec",3/25/2022
"Chafin, Andrew",3/26/2022
"Stashak, Cody",3/26/2022
"Borucki, Ryan",3/26/2022
"Fairbanks, Pete",3/27/2022
"Sherriff, Ryan",3/28/2022
"Clevinger, Mike",3/29/2022
"Burr, Ryan",3/31/2022
"González, Victor",3/31/2022
"Harris, Will",3/31/2022
"deGrom, Jacob",3/31/2022
"Pearson, Nate",3/31/2022
"Richards, Garrett",4/2/2022
"Cisnero, José",4/3/2022
"Crochet, Garrett",4/5/2022
"Crochet, Garrett",4/5/2022
"Stephenson, Robert",4/6/2022
"Gilbreath, Lucas",4/6/2022
"Weaver, Luke",4/7/2022
"Guenther, Sean",4/7/2022
"Underwood Jr., Duane",4/7/2022
"Sánchez, Aníbal",4/7/2022
"Chargois, JT",4/8/2022
"Giolito, Lucas",4/8/2022
"Gray, Jon",4/8/2022
"Quijada, José",4/9/2022
"Thompson, Mason",4/9/2022
"Yarbrough, Ryan",4/9/2022
"Kremer, Dean",4/10/2022
"Snell, Blake",4/10/2022
"Howard, Spencer",4/10/2022
"Knebel, Corey",4/11/2022
"Romo, Sergio",4/11/2022
"Walker, Taijuan",4/11/2022
"Patiño, Luis",4/11/2022
"Rodríguez, Manuel",4/12/2022
"Pressly, Ryan",4/13/2022
"Guerra, Deolis",4/13/2022
"Jackson, Luke",4/13/2022
"Jackson, Luke",4/13/2022
"Treinen, Blake",4/14/2022
"Santana, Dennis",4/14/2022
"Sborz, Josh",4/15/2022
"Duarte, Daniel",4/16/2022
"Manning, Matt",4/16/2022
"Gray, Sonny",4/16/2022
"Jin Ryu, Hyun",4/16/2022
"Mazza, Chris",4/17/2022
"Heaney, Andrew",4/17/2022
"Puk, A.J.",4/18/2022
"Trivino, Lou",4/18/2022
"Snead, Kirby",4/18/2022
"Poppen, Sean",4/19/2022
"Romero, Jhon",4/19/2022
"Cobb, Alex",4/19/2022
"Gray, Jon",4/19/2022
"Castro, Anthony",4/20/2022
"Johnson, Pierce",4/20/2022
"Sewald, Paul",4/20/2022
"Harvey, Hunter",4/20/2022
"Quantrill, Cal",4/20/2022
"Crouse, Hans",4/20/2022
"VerHagen, Drew",4/21/2022
"Patton, Spencer",4/21/2022
"DeSclafani, Anthony",4/21/2022
"Price, David",4/24/2022
"Springs, Jeffrey",4/24/2022
"Lodolo, Nick",4/24/2022
"Wells, Alex",4/26/2022
"Banda, Anthony",4/26/2022
"Littell, Zack",4/26/2022
"Borucki, Ryan",4/26/2022
"Means, John",4/27/2022
"Means, John",4/27/2022
"Wendelken, J.B.",4/28/2022
"Ober, Bailey",4/28/2022
"Melancon, Mark",4/29/2022
"Bradley, Archie",4/29/2022
"Leone, Dominic",4/29/2022
"Abreu, Albert",4/29/2022
"Saucedo, Tayler",4/29/2022
"Alexander, Tyler",4/29/2022
"White, Mitch",4/30/2022
"Cousins, Jake",4/30/2022
"Irvin, Cole",4/30/2022
"May, Trevor",5/2/2022
"Festa, Matt",5/3/2022
"Wacha, Michael",5/3/2022
"Hill, Tim",5/4/2022
"Ellis, Chris",5/4/2022
"Bundy, Dylan",5/5/2022
"Bummer, Aaron",5/6/2022
"Hill, Rich",5/6/2022
"Wainwright, Adam",5/6/2022
"Newcomb, Sean",5/7/2022
"Kershaw, Clayton",5/7/2022
"Bleier, Richard",5/8/2022
"Stroman, Marcus",5/8/2022
"Wheeler, Zack",5/8/2022
"Eflin, Zach",5/8/2022
"Robertson, David",5/9/2022
"Warren, Austin",5/10/2022
"Coulombe, Danny",5/10/2022
"Swanson, Erik",5/10/2022
"McGee, Jake",5/10/2022
"Matzek, Tyler",5/10/2022
"Luzardo, Jesús",5/10/2022
"Lakins Sr., Travis",5/11/2022
"Reid-Foley, Sean",5/11/2022
"Megill, Tylor",5/11/2022
"Kahnle, Tommy",5/13/2022
"Giolito, Lucas",5/13/2022
"Gustave, Jandel",5/14/2022
"Mayza, Tim",5/14/2022
